,text,created_at,retweet_count,favorite_count,is_retweet
123,I have recieved and taken calls from many foreign leaders despite what the failing @nytimes said. Russia U.K. China Saudi Arabia Japan,2016-11-16 12:17:00,25694.0,88735.0,False
124,Australia New Zealand and more. I am always available to them. @nytimes is just upset that they looked like fools in their coverage of me.,2016-11-16 12:25:00,24112.0,90560.0,False
125,My transition team which is working long hours and doing a fantastic job will be seeing many great candidates today. #MAGA,2016-11-17 12:46:00,21195.0,96513.0,False
126,Just got a call from my friend Bill Ford Chairman of Ford who advised me that he will be keeping the Lincoln plant in Kentucky - no Mexico,2016-11-18 02:01:00,49187.0,166484.0,False
127,I worked hard with Bill Ford to keep the Lincoln plant in Kentucky. I owed it to the great State of Kentucky for their confidence in me!,2016-11-18 02:15:00,29271.0,117953.0,False
129,Will be working all weekend in choosing the great men and women who will be helping to MAKE AMERICA GREAT AGAIN!,2016-11-18 22:35:00,26586.0,121773.0,False
130,I settled the Trump University lawsuit for a small fraction of the potential award because as President I have to focus on our country.,2016-11-19 13:34:00,16341.0,90863.0,False
131,The ONLY bad thing about winning the Presidency is that I did not have the time to go through a long but winning trial on Trump U. Too bad!,2016-11-19 13:39:00,13021.0,62790.0,False
132,Our wonderful future V.P. Mike Pence was harassed last night at the theater by the cast of Hamilton cameras blazing.This should not happen!,2016-11-19 13:48:00,33936.0,122802.0,False
133,The Theater must always be a safe and special place.The cast of Hamilton was very rude last night to a very good man Mike Pence. Apologize!,2016-11-19 13:56:00,43759.0,150281.0,False
134,The cast and producers of Hamilton which I hear is highly overrated should immediately apologize to Mike Pence for their terrible behavior,2016-11-20 11:22:00,25523.0,104673.0,False
135,Numerous patriots will be coming to Bedminster today as I continue to fill out the various positions necessary to MAKE AMERICA GREAT AGAIN!,2016-11-20 11:44:00,13996.0,68274.0,False
136,I watched parts of @nbcsnl Saturday Night Live last night. It is a totally one-sided biased show - nothing funny at all. Equal time for us?,2016-11-20 13:26:00,16047.0,69172.0,False
137,"General James ""Mad Dog"" Mattis who is being considered for Secretary of Defense was very impressive yesterday. A true General's General!",2016-11-20 13:39:00,21731.0,82723.0,False
138,I have always had a good relationship with Chuck Schumer. He is far smarter than Harry R and has the ability to get things done. Good news!,2016-11-20 14:05:00,11470.0,55775.0,False
139,.@transition2017 update and policy plans for the first 100 days. https://t.co/HTgPXfPWeJ,2016-11-21 23:58:00,41867.0,102370.0,False
140,Prior to the election it was well known that I have interests in properties all over the world.Only the crooked media makes this a big deal!,2016-11-22 02:14:00,18932.0,79615.0,False
141,Many people would like to see @Nigel_Farage represent Great Britain as their Ambassador to the United States. He would do a great job!,2016-11-22 02:22:00,22317.0,66458.0,False
142,I cancelled today's meeting with the failing @nytimes when the terms and conditions of the meeting were changed at the last moment. Not nice,2016-11-22 11:16:00,17384.0,68659.0,False
